Description,Designator,Quantity,Manufacturer Name,Manufacturer Part Number,Case

"Capacitor - 100nF [0402-6V3] (Ceramic)","C1, C5, C9, C13, C17, C21, C22, C23, C24, C25, C26, C27, C28, C29, C32, C44, C45, C51, C55, C58, C64, C68, C69, C81, C99, C100, C101, C102, C103, C104, C105, C111, C114, C115, C123","35","AVX","04026D104KAT4A","0402"
"Capacitor - 33pF [0402] (Ceramic)","C2, C3, C4, C6, C7, C8, C10, C11, C12, C14, C15, C16, C18, C19, C20, C56, C57, C61, C62, C63, C67, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C95, C96, C97, C98, C108, C109, C112, C113, C116, C117, C118, C119, C120, C121, C122, C124","59","Kemet","C0402C330J9RACAUTO","0402"
"Multilayer Ceramic Capacitors - SMD - 6V3 22uF X5R 0603 20%","C30, C40","2","Murata","GRM188R60J226MEA0D","0603"
"Capacitor - 10uF [0603] (Tantalium)","C31, C35, C38, C39","4","AVX","F380J106MMAAH3","0603"
"Multilayer Ceramic Capacitors - SMD - 6.3V 470nF X7R 0402 10%","C33","1","AVX","04026C474KAT2A","0402"
"Tantalum Capacitors - Polymer 6.3V 100uF 1206 20% ESR=70mOhms","C34","1","KEMET","T527I107M006ATE070","1206"
"Multilayer Ceramic Capacitors - SMD - 25V 1uF X7R 0603 10%","C36, C46","2","Murata","GCJ188R71E105KA01D","0603"
"Multilayer Ceramic Capacitors - SMD - 6.3V 47nF X7R 0402 10%","C37, C53","2","AVX","04026C472MAT2A","0402"
"Multilayer Ceramic Capacitors - SMD - 6V3 4.7uF X5R 0402 20%","C41, C52, C54, C110","4","KEMET","C0402C475M9PACTU","0402"
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 22UF 25V 10% 1210","C42, C43, C47, C48, C49, C50, C59","7","Murata","GRM32ER71E226KE15L","1210"
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 47UF 10V 20% 1206","C60","1","Kemet","C1206C476M8PAC","1206"
"Tantalum Capacitors - Polymer 10V 68uF 2917 20% ESR=25mOhms","C65","1","Panasonic","10TPE68M","2917"
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF 10V 20% 1206","C66","1","Murata","GRM31CR61A107MEA8L","1206"
"Multilayer Ceramic Capacitors - SMD - 6.3V 1uF X5R 0402 20%","C93, C94","2","Murata","GRM153R60J105ME95D","0402"
"Multilayer Ceramic Capacitors - SMD - 50V 13pF X5R 0402 1%","C106, C107","2","KEMET","CBR04C130F5GAC","0402"
"Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","D1, D2, D3","3","ROHM Semiconductor","SML-P12MTT86R","0402"
"LED RGB DIFFUSED SMD","D4","1","Wurth Elektronik","150066M153000","0606"
"Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","FB1, FB2","2","Murata Electronics","BLM18EG101TZ1D","0603"
"Mini Tunic Connector with 6P","J1, J2, J3, J4, J9","5","Molex","53261-0671",""
"Mini Tunic Connector with 4P","J5","1","Molex","53261-0471","SMD"
"BATTERY CONTACT CLP 18650 PC PIN","J6","1","Keystone Electronics","54",""
"Mini Tunic Connector with 2P","J7, J12","2","Molex","53261-0271",""
"Memory Card Connectors ASSY 1.90 SIM CARD R IM CARD READER CONN.","J8","1","Molex","47553-0001",""
"USB Shielded I/O Receptacle; Type C; Right Angle; Surface Mount; Gold over Nickel","J10, J11","2","Molex","105450-0101","SMD"
"6 A. 2.2uH Power inducator, 20% tol, SMD, RoHS","L1","1","Bourns","SRP4020TA-2R2M","SMD"
"Power Inductors - SMD SMD Power Inductor 1.2UH 12.9A","L2","1","Sumida","CDMC8D28NP-1R2MC","SMD"
"Fixed Inductor","L3, L4","2","Murata Electronics","LQG15HN1N0S02D","0402"
"RF Inductors - SMD 47 NH 2%","L5","1","Murata Electronics","LQW15AN47NG00D","0402"
"Bipolar NPN Transistors","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9","9","Nexperia","BC847AQAZ","DFN-1010D-3"
"Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","R1, R2, R3, R4, R7, R9, R10, R11, R14, R16, R17, R18, R21, R23, R24, R25, R28, R30, R31, R35, R36, R37, R65, R68, R69, R71, R73, R74, R75, R76, R77, R78, R82, R85, R89, R91, R93, R103, R104, R105, R106","41","Vishay","CRCW040247K0FKED","0402"
"Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%","R5, R8, R12, R15, R19, R22, R26, R29, R81, R84, R100, R101, R102","13","Vishay","CRCW04024K70FKED","0402"
"Thick Film Resistors - SMD 1 W 120 Ohm 5%","R6, R13, R20, R27","4","YAGEO","RC2512JK-07120RL","2512"
"Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","R32, R33, R34, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R53, R55, R56, R58, R88, R90, R92, R94, R96, R107, R108","28","Vishay","CRCW040210K0FKED","0402"
"Shunt Resistors - SMD 5 W 0.01 Ohm 1%","R52","1","KOA Speer","TLRH3APTTE10L0F","2512"
"Thick Film Resistors - SMD 1/16 W 5.49 KOhm 1%","R54","1","Vishay","CRCW04025K49FKED","0402"
"Thick Film Resistors - SMD 1/16 W 316 Ohm 1%","R57","1","Vishay","CRCW0402316RFKED","0402"
"Thick Film Resistors - SMD 1/16 W 255 KOhm 1%","R59","1","Vishay","CRCW0402255KFKED","0402"
"Thick Film Resistors - SMD 1/16 W 330 KOhm 1%","R60","1","Vishay","CRCW0402330KFKED","0402"
"Thick Film Resistors - SMD 1/16 W 100 KOhm 1%","R61, R64, R87","3","Vishay","CRCW0402100KFKED","0402"
"Thick Film Resistors - SMD 1/16 W 17.4 KOhm 1%","R62","1","Vishay","CRCW040217K4FKED","0402"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R63, R72, R80, R83, R95, R97, R98, R99","8","Vishay","CRCW0402330RFKED","0402"
"Thick Film Resistors - SMD 1/16 W 182 KOhm 1%","R66","1","Vishay","CRCW0402182KFKEDC","0402"
"Thick Film Resistors - SMD 1/16 W 187 KOhm 1%","R67","1","Vishay","CRCW0402182KFKEDC","0402"
"Thick Film Resistors - SMD 1/16 W 49.9 Ohm 1%","R70","1","Vishay","CRCW040249R9FKED","0402"
"Thick Film Resistors - SMD 1/16 W 0 Ohm","R79, R86","2","Vishay","CRCW04020000Z0ED","0402"
"MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM","RF1, RF2","2","Molex","73412-0110","SMD"
"Switch Tactile N.O. SPST Flush Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","SW1","1","C&K Switches","PTS526SK08SMTR2LFS","SMD"
"Multiplexer Switch ICs Dual 4-Ch Analog Mltplxr/Demltplxr","U1","1","Texas Instruments","SN74LV4052ADR","SOIC-16"
"RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers","U2, U3, U4, U5","4","Maxim Integrated","MAX485CSA+T","SOIC-8"
"TEXAS INSTRUMENTS - TCA9548APWR - I2C SWITCH W/ RESET, 8-CH, TSSOP-24","U6","1","Texas Instruments","TCA9548APWR","TSSOP-24"
"Security ICs / Authentication ICs I C/SMBus Silicon Serial Number","U7","1","Maxim Integrated","DS28CM00R-A00+T","SOT23-5"
"Proximity Sensors I2C UV Index and Proximity/Ambient Light Sensor with 1 LED Driver","U8","1","Silicon Labs","SI1145-A10-GMR","QFN-10"
"Board Mount Pressure Sensors","U9","1","NXP","MPL3115A2R1","LGA8"
"Board Mount Pressure Sensors Tube Connection, I2C , 500Pa","U10, U11, U12","3","Sensirion","SDP810-500PA","Through Hole"
"ATmega Series 256 KB Flash 8 KB SRAM 8 MHz 8-Bit Microcontroller - TQFP-100","U13","1","Microchip Technology / Atmel","ATMEGA2560V-8AU","TQFP100"
"IC FUEL GAUGE MODELGAUGE 10TDFN","U14","1","Maxim Integrated","MAX17055ETB+T","TDFN-10"
"I2C Controlled 3A Single Cell Charger","U15","1","Texas Instruments","BQ24298RTWT","WQFN24"
"Switching Voltage Regulators 10-A Fully-Integrated Synchronous Boost Converter 20-VQFN -40 to 85","U16","1","Texas Instruments","TPS61088RHLR","VQFN-20"
"NANO-POWER SYSTEM TIMER FOR POWE","U17","1","Texas Instruments","TPL5111DDCR","SOT-23-6"
"LDO Voltage Regulators 800MA LDO LINEAR REG","U18","1","Texas Instruments","LM1117DT-3.3/NOPB","TO-252-3"
"LDO Voltage Regulators 3A L Drop Reg for uP Applications","U19","1","Analog Devices","LT1528CQ#PBF","DDPAK-5"
"Telit LE910S1-EAG GPRS/GNSS Module","U20","1","Telit","LE910S1-EAG","BGA"
"Translation - Voltage Levels 8-Bit Dual-Supply Bus Transceiver 24-TSSOP -40 to 125","U21","1","Texas Instruments","SN74AXCH8T245PWR","TSSOP-24"
"LDO Voltage Regulators ACMOS1 LDO REGULATOR","U22","1","OnSemi","NCP612SQ30T2G","SOT23-5"
"USB Interface IC USB to Serial UART Interface","U23","1","FTDI Chip","FT234XD-R","DFN-12"
"Power Switch MosFet","U24","1","Texas Instruments","TPS22917DBVR","SOT-23-6"
"CRYSTAL 7.3728MHZ 18PF SMD","X1","1","ABRACON","ABMM2-7.3728MHZ-E2-T","SMD"
