Designator,Quantity,Description,Footprint,Case,Manufacturer _Part_Number,Manufacturer Name,Manufacturer Part Number,Manufacturer_Name,Manufacturer_Part_Number

"C1, C2, C3, C4, C5, C15, C17","7","Capacitor - 100nF [0402-6V3] (Ceramic)","CAPACITOR_0402","0402","","AVX","04026D104KAT4A","",""
"C6, C7, C8, C10, C11, C12","6","Capacitor - 33pF [0402] (Ceramic)","CAPACITOR_0402","0402","","Kemet","C0402C330J9RACAUTO","",""
"C16","1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 22UF 25V 10% 1210","CAPACITOR_0603","1210","","Murata","GRM32ER71E226KE15L","",""
"D3","1","LED RGB DIFFUSED SMD","Wurth_0606","0606","","Wurth Elektronik","150066M153000","",""
"J1, J2","2","Mini Tunic Connector with 6P","Connector_Tunic 6P","","","Molex","53261-0671","",""
"Q1, Q2, Q3, Q4, Q5","5","Bipolar NPN Transistors","SOT1215","DFN-1010D-3","","Nexperia","BC847AQAZ","",""
"R1","1","Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW040210K0FKED","",""
"R2, R3, R7, R10, R15, R16, R17","7","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW04024K70FKED","",""
"R4, R5, R6, R9, R18, R19, R20, R23, R24, R25, R26","11","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW040247K0FKED","",""
"R8","1","Thick Film Resistors - SMD 1 W 120 Ohm 5%","RESISTOR_2512","2512","","YAGEO","RC2512JK-07120RL","",""
"R11","1","Thick Film Resistors - SMD 1/16 W 0 Ohm","RESISTOR_0402","0402","","Vishay","CRCW04020000Z0ED","",""
"R12, R13, R14","3","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","RESISTOR_0402","0402","","Vishay","CRCW0402330RFKED","",""
"SW1","1","Switch Tactile N.O. SPST Flush Round Button Gull Wing 0.05A 12VDC 200000Cycles 2.45N SMD T/R","PTS526_Switch","SMD","","C&K Switches","PTS526SK08SMTR2LFS","",""
"SW2, SW3","2","Reed relay - SMD 11.7 mm","REED Relay","","","Ryazan Metal Ceramic","MKA-10110MS","",""
"U1","1","8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V","TQFN-32","TQFP-32","","Microchip Technology / Atmel","ATMEGA328P-AU","",""
"U2","1","RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers","SOP-8L (AZRS3080E)","SOIC-8","","Maxim Integrated","MAX485CSA+T","",""
"U4","1","LDO Voltage Regulators 800MA LDO LINEAR REG","TO-252","TO-252-3","","Texas Instruments","LM1117DT-3.3/NOPB","",""
